fecha,vertimientos
2014-07-20,2710220.8
2014-07-21,8517836.8
2014-07-22,20169062.4
2014-07-23,52691712.0
2014-07-24,30935040.0
2014-07-25,16478259.2
2014-07-27,9397248.0
2014-07-28,3809484.8
2014-07-31,3688857.6
2014-08-02,31542067.2
2014-08-03,2860032.0
2014-08-17,2199419.145
2014-08-18,33309480.095
2014-08-19,47460886.2425
2014-08-20,5727126.8925
2014-09-07,44680564.13222
2014-09-08,33144459.98
2014-09-09,1091081.6
2014-09-14,16029157.72
2014-10-09,721556.64
2014-10-10,197435.28
2014-10-12,43083.6
2014-10-13,978490.32
2014-10-14,593263.68
2014-10-15,725062.56
2014-10-16,324107.52
2014-10-17,152478.48
2014-10-18,1684006.8
2014-10-19,1948128.0
2014-10-20,548847.6
2014-11-11,5119.392
2014-11-12,932339.904
2014-11-13,2976418.8
2014-11-14,3176404.968
2014-11-15,2508020.616
2014-11-16,1378396.296
2014-11-17,490181.784
2014-11-18,44923.776
2014-12-07,80172.96
2014-12-08,1575361.2
2014-12-09,441325.92
2015-02-02,166677.50944
2015-02-03,69308.4
2015-02-13,43832.88
2015-02-14,37464.0
2015-04-04,78336.72
2015-04-05,227922.552
2015-04-07,909750.35525
2015-04-08,1665103.02475
2015-04-09,136156.68
2015-04-14,243589.896
2015-04-15,963168.624
2015-04-16,277535.808
2015-04-21,746.064
2015-05-19,43.87172
2015-05-21,159084.624
2015-05-22,324608.736
2015-05-23,80786.304
2015-05-24,270970.728
2015-05-25,67058.52027
